target,rmse,mae,r2
Area AVG,849.3724742849915,626.1032047674388,0.9065695129922683
RG AVG,0.5308959452843965,0.4108236189822477,0.8151535140061461
RDF Peak,0.12260809968209169,0.07604353769592137,0.5611402048562959
