model,Area AVG MAE,Area AVG RMSE,Area AVG R2,RG AVG MAE,RG AVG RMSE,RG AVG R2,RDF Peak MAE,RDF Peak RMSE,RDF Peak R2,Mean MAE,Mean RMSE,Mean R2,Area AVG Count,RDF Peak Count,RG AVG Count
CNN,529.0190598226393,727.2275910405556,0.9368728239065836,0.37515396103115944,0.4774672528488549,0.8706424001484419,0.06393053477245664,0.09085868394487218,0.7194479001256782,176.48604810614765,242.59863899244976,0.8423210413935678,507.0,504.0,507.0
GAT,585.4445314426159,811.349084277182,0.9214237737068781,0.4080123186581704,0.5300455190651041,0.8405842957449152,0.055921895754715754,0.08173060928058287,0.7729873215745764,195.30282188567628,270.6536201351759,0.8449984636754566,507.0,504.0,507.0
GCN,642.8125269662229,835.5584905947205,0.9166646276500496,0.4003060696393075,0.5093706914229977,0.8527780138483663,0.05767726614361718,0.08580885958151761,0.7497668170848539,214.42350343400196,278.71789004857504,0.8397364861944233,507.0,504.0,507.0
GIN,582.3479230229906,776.2861317490613,0.9280684660005524,0.3756893410014918,0.4805081087408177,0.8689894683065261,0.054719205295282694,0.07971001154895062,0.784073281897695,194.25944385642913,258.94878328978365,0.8603770720682578,507.0,504.0,507.0
LR,656.9558171728878,909.2643766192479,0.9013138920200874,0.42098537063061514,0.5434296251008818,0.832431887267161,0.07871435219760867,0.12648064163414172,0.4563382760620792,219.15183896523868,303.3114289619943,0.7300280184497758,507.0,504.0,507.0
MLP,722.3751772066075,1034.1368968182157,0.8723467918337597,0.4603811429567356,0.5972523324605249,0.7975953543751548,0.06565089783971272,0.10180625040960552,0.6477674194108749,240.96706974913465,344.9453184670286,0.7725698552065965,507.0,504.0,507.0
