target,rmse,mae,r2
Area AVG,970.6129309479982,698.6976689877717,0.882874191505352
RG AVG,0.5880491683373665,0.45005603835516766,0.7899922621287725
RDF Peak,0.09456594705345428,0.06446172298473332,0.8091075701678891
