model,Area AVG MAE,Area AVG RMSE,Area AVG R2,RG AVG MAE,RG AVG RMSE,RG AVG R2,RDF Peak MAE,RDF Peak RMSE,RDF Peak R2,Mean MAE,Mean RMSE,Mean R2,Area AVG Count,RDF Peak Count,RG AVG Count
CNN,531.2592860285944,736.0448554589361,0.9326451273839337,0.38048465261346265,0.48248174013091194,0.8586259237257696,0.061582915248378875,0.09041076206743877,0.7627150250001545,177.23378453215207,245.53924932037816,0.8513286920366193,506.0,504.0,506.0
GAT,592.2455051105484,803.5265718226977,0.9197285806813695,0.39661293632899347,0.5163613157276417,0.8380744375748886,0.05461792269396403,0.07861449269045968,0.8205947234994587,197.5655786565238,268.0405158770386,0.8594659139185724,506.0,504.0,506.0
GCN,706.710086385252,930.01357695809,0.8924676756303349,0.42794101323063666,0.546370020844567,0.8187067059140883,0.05698026811319684,0.08012931633833581,0.8136141861888422,235.73166922219863,310.21335876509096,0.8415961892444218,506.0,504.0,506.0
GIN,588.5637187731596,805.2277310155259,0.9193883330317517,0.36327718840286194,0.46679064685810207,0.8676718296890638,0.05347734819802027,0.07649713698972536,0.8301285701660914,196.32682443658686,268.59033959979126,0.8723962442956356,506.0,504.0,506.0
LR,638.1632374571492,864.0897908861416,0.9071721689182475,0.41499437008299295,0.5337625541070347,0.8269768470137577,0.0810266806435473,0.12844762801496845,0.5210588485199156,212.88641950262524,288.2506670227545,0.7517359548173069,506.0,504.0,506.0
MLP,698.6976689877717,970.6129309479982,0.882874191505352,0.45005603835516766,0.5880491683373665,0.7899922621287725,0.0644555479761154,0.09464212756794076,0.7399846609513677,233.07072685803436,323.7652074146345,0.8042837048618307,506.0,504.0,506.0
