model,Area AVG MAE,Area AVG RMSE,Area AVG R2,RG AVG MAE,RG AVG RMSE,RG AVG R2,RDF Peak MAE,RDF Peak RMSE,RDF Peak R2,Mean MAE,Mean RMSE,Mean R2,Area AVG Count,RDF Peak Count,RG AVG Count
CNN,509.85981844903944,690.6951935182864,0.9382175517780296,0.3725187792749462,0.47171458252434395,0.8540678464517526,0.06294941449165345,0.09226777900478729,0.6952459814389476,170.09842888093536,230.41972529327185,0.8291771265562433,501.0,500.0,501.0
GAT,578.0250709518463,785.8157754654362,0.9200287779535566,0.3962231082116772,0.512830135494947,0.8275197143958918,0.05416533100605011,0.08042190582617678,0.7684749274276679,192.82515313035466,262.13634250225243,0.8386744732590388,501.0,500.0,501.0
GCN,751.1448402024076,996.577896281188,0.8713781513851405,0.45871873577673755,0.6147467547410262,0.7521523093527722,0.05874968349933624,0.0835666430166505,0.7500142689861578,250.55410287389455,332.42540322631527,0.7911815765746901,501.0,500.0,501.0
GIN,601.9915413313997,791.4012767838384,0.9188878824493111,0.3566085088276815,0.4612754943350171,0.8604553621182358,0.05347498095035553,0.0772713133446928,0.7862599556557713,200.80054160705924,263.9799411971727,0.8552010667411061,501.0,500.0,501.0
LR,626.1032047674387,849.3724742849915,0.9065695129922683,0.41082361898224773,0.5308959452843965,0.8151535140061461,0.07447579998473622,0.11655004483742899,0.5137336757605167,208.8628347288019,283.3399734250378,0.745152234252977,501.0,500.0,501.0
MLP,653.3191663547905,881.7210959725294,0.899317333290008,0.42844552099109884,0.5631909825249728,0.7919806321886874,0.06218818628787994,0.09450345486824363,0.680298496187212,217.93660002068984,294.12626346997416,0.7905321538886358,501.0,500.0,501.0
