Input List,Area AVG,RG AVG,RDF Peak
"[(1, 'E4'), (2, 'S5'), (3, 'S5'), (4, 'S5'), (5, 'S5'), (6, 'S5'), (7, 'S5'), (8, 'E4'), (9, 'S5'), (10, 'S5'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'E4'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",17693.65,20.788,1.028
"[(1, 'E4'), (2, 'S5'), (3, 'S5'), (4, 'S5'), (5, 'S5'), (6, 'S5'), (7, 'S5'), (8, 'S5'), (9, 'S5'), (10, 'E4'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'E4'), (20, 'S5')]",16684.99,20.371,0.916
"[(1, 'E4'), (2, 'E4'), (3, 'E4'), (4, 'E4'), (5, 'E4'), (6, 'E4'), (7, 'E4'), (8, 'E4'), (9, 'E4'), (10, 'E4'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",14011.24,18.498,1.842
"[(1, 'E5'), (2, 'E3'), (3, 'E5'), (4, 'E3'), (5, 'E5'), (6, 'E3'), (7, 'E5'), (8, 'E3'), (9, 'E5'), (10, 'E3'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",13813.43,18.75,1.81
"[(1, 'E6'), (2, 'E2'), (3, 'E6'), (4, 'E2'), (5, 'E6'), (6, 'E2'), (7, 'E6'), (8, 'E2'), (9, 'E6'), (10, 'E2'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",13816.09,19.168,1.858
"[(1, 'E7'), (2, 'E1'), (3, 'E7'), (4, 'E1'), (5, 'E7'), (6, 'E1'), (7, 'E7'), (8, 'E1'), (9, 'E7'), (10, 'E1'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",13566.43,19.439,1.89
"[(1, 'E8'), (2, 'E0'), (3, 'E8'), (4, 'E0'), (5, 'E8'), (6, 'E0'), (7, 'E8'), (8, 'E0'), (9, 'E8'), (10, 'E0'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",13782.46,19.617,2.028
"[(1, 'E4'), (2, 'S5'), (3, 'E4'), (4, 'S5'), (5, 'E4'), (6, 'S5'), (7, 'E4'), (8, 'S5'), (9, 'E4'), (10, 'S5'), (11, 'E4'), (12, 'S5'), (13, 'E4'), (14, 'S5'), (15, 'E4'), (16, 'S5'), (17, 'E4'), (18, 'S5'), (19, 'E4'), (20, 'S5')]",20668.55,19.999,1.782
"[(1, 'E1'), (2, 'E1'), (3, 'E1'), (4, 'E1'), (5, 'E1'), (6, 'E7'), (7, 'E7'), (8, 'E7'), (9, 'E7'), (10, 'E7'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",14067.63,18.655,1.889
"[(1, 'E7'), (2, 'E7'), (3, 'E7'), (4, 'E7'), (5, 'E7'), (6, 'E1'), (7, 'E1'), (8, 'E1'), (9, 'E1'), (10, 'E1'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",13758.37,19.228,1.865
