target,rmse,mae,r2
Area AVG,864.0897908861416,638.1632374571492,0.9071721689182475
RG AVG,0.5337625541070347,0.41499437008299295,0.8269768470137577
RDF Peak,0.12963947852791952,0.08176548642988567,0.641248519458554
