target,rmse,mae,r2
Area AVG,835.5584905947205,642.8125269662229,0.9166646276500496
RG AVG,0.5093706914229977,0.4003060696393075,0.8527780138483663
RDF Peak,0.08616009285786132,0.057926206428858894,0.8455696414844746
